id,Year_of_Release,Platform,Total_Sales
658,2008,SAT,0
659,2009,SAT,0
660,2010,SAT,0
661,2011,SAT,0
662,2012,SAT,0
663,2013,SAT,0
664,2014,SAT,0
665,2015,SAT,0
666,2016,SAT,0
667,1980,SNES,0
668,1981,SNES,0
669,1982,SNES,0
670,1983,SNES,0
671,1984,SNES,0
672,1985,SNES,0
673,1986,SNES,0
674,1987,SNES,0
675,1988,SNES,0
676,1989,SNES,0
677,1990,SNES,26.15
678,1991,SNES,16.22
679,1992,SNES,32.98
680,1993,SNES,40.02
681,1994,SNES,35.08
682,1995,SNES,32.2
683,1996,SNES,15.92
684,1997,SNES,0.99
685,1998,SNES,0.22
686,1999,SNES,0.26
687,2000,SNES,0
688,2001,SNES,0
689,2002,SNES,0
690,2003,SNES,0
691,2004,SNES,0
692,2005,SNES,0
693,2006,SNES,0
694,2007,SNES,0
695,2008,SNES,0
696,2009,SNES,0
697,2010,SNES,0
698,2011,SNES,0
699,2012,SNES,0
700,2013,SNES,0
701,2014,SNES,0
702,2015,SNES,0
703,2016,SNES,0
704,1980,Wii,0
705,1981,Wii,0
706,1982,Wii,0
707,1983,Wii,0
708,1984,Wii,0
709,1985,Wii,0
710,1986,Wii,0
711,1987,Wii,0
712,1988,Wii,0
713,1989,Wii,0
714,1990,Wii,0
715,1991,Wii,0
716,1992,Wii,0
717,1993,Wii,0
718,1994,Wii,0
719,1995,Wii,0
720,1996,Wii,0
721,1997,Wii,0
722,1998,Wii,0
723,1999,Wii,0
724,2000,Wii,0
725,2001,Wii,0
726,2002,Wii,0
727,2003,Wii,0
728,2004,Wii,0
729,2005,Wii,0
730,2006,Wii,137.15
731,2007,Wii,152.77
732,2008,Wii,171.32
733,2009,Wii,206.97
734,2010,Wii,127.95
735,2011,Wii,59.65
736,2012,Wii,21.71
737,2013,Wii,8.59
738,2014,Wii,3.75
739,2015,Wii,1.14
740,2016,Wii,0.18
741,1980,WiiU,0
742,1981,WiiU,0
743,1982,WiiU,0
744,1983,WiiU,0
745,1984,WiiU,0
746,1985,WiiU,0
747,1986,WiiU,0
748,1987,WiiU,0
749,1988,WiiU,0
750,1989,WiiU,0
751,1990,WiiU,0
752,1991,WiiU,0
753,1992,WiiU,0
754,1993,WiiU,0
755,1994,WiiU,0
756,1995,WiiU,0
757,1996,WiiU,0
758,1997,WiiU,0
759,1998,WiiU,0
760,1999,WiiU,0
761,2000,WiiU,0
762,2001,WiiU,0
763,2002,WiiU,0
764,2003,WiiU,0
765,2004,WiiU,0
766,2005,WiiU,0
767,2006,WiiU,0
768,2007,WiiU,0
769,2008,WiiU,0
770,2009,WiiU,0
771,2010,WiiU,0
772,2011,WiiU,0
773,2012,WiiU,17.56
774,2013,WiiU,21.65
